target,weight,source
SputnikInt,244,2ontrack
PressTV,199,2ontrack
thirdrowtesla,144,2ontrack
elonmusk,107,2ontrack
BenjaminNorton,89,2ontrack
jpr007,66,2ontrack
TeslaForThe_Win,61,2ontrack
MatthewPantelis,57,2ontrack
Hein_The_Slayer,54,2ontrack
28delayslater,54,2ontrack
realDonaldTrump,53,2ontrack
jimmy_dore,46,2ontrack
EnglishFars,37,2ontrack
MaxBlumenthal,35,2ontrack
Tesla,33,2ontrack
Teslarati,32,2ontrack
Kristennetten,31,2ontrack
holdmyale,30,2ontrack
GarlandNixon,30,2ontrack
lhansen0,27,2ontrack
GeorgeSzamuely,26,2ontrack
ScottMorrisonMP,25,2ontrack
vincent13031925,25,2ontrack
EvaFoxU,21,2ontrack
theage,20,2ontrack
Daniel_Lewis3,20,2ontrack
kellg12,18,2ontrack
ChrisDungeon,18,2ontrack
RussiaInsider,17,2ontrack
SciGuySpace,17,2ontrack
Bryr32,16,2ontrack
AlanRMacLeod,16,2ontrack
AudiOfficial,14,2ontrack
aaronjmate,14,2ontrack
danielsgoldman,14,2ontrack
RealNewsAleppo,14,2ontrack
camilateleSUR,13,2ontrack
TheGrayzoneNews,13,2ontrack
MollyJongFast,13,2ontrack
jhall,13,2ontrack
spotted_model,12,2ontrack
alex_avoigt,12,2ontrack
flcnhvy,12,2ontrack
abcnews,12,2ontrack
NicolasMaduro,11,2ontrack
joshua_landis,11,2ontrack
LorenaSGonzalez,10,2ontrack
ajitxsingh,10,2ontrack
RexChapman,10,2ontrack
ajtourville,10,2ontrack
antsie_,10,2ontrack
CharmsYahoo,9,2ontrack
SpaceX,9,2ontrack
s_m_marandi,9,2ontrack
realTuckFrumper,9,2ontrack
Tesmanian_com,9,2ontrack
business,9,2ontrack
TeslaLisa,8,2ontrack
ElectrekCo,8,2ontrack
cleantechnica,8,2ontrack
ray4tesla,8,2ontrack
MintPressNews,7,2ontrack
_youhadonejob1,7,2ontrack
Gays4Tesla,7,2ontrack
Goldfiinger77,7,2ontrack
CNN,7,2ontrack
senator_sheldon,7,2ontrack
2ontrack,7,2ontrack
ElonMuskNewsOrg,7,2ontrack
CrazyinRussia,7,2ontrack
kimbal,7,2ontrack
LeonByner5AA,7,2ontrack
SAPoliceNews,7,2ontrack
isaiah_kb,6,2ontrack
TeslaOwls,6,2ontrack
anyaparampil,6,2ontrack
venanalysis,6,2ontrack
DisruptResearch,6,2ontrack
sahouraxo,6,2ontrack
ValueAnalyst1,6,2ontrack
MarkAmesExiled,6,2ontrack
DeptofDefense,6,2ontrack
DriveTeslaca,6,2ontrack
jguaido,6,2ontrack
johnnaaaaaaaaaa,6,2ontrack
WhiteHouse,6,2ontrack
AdelaideMail,6,2ontrack
SecPompeo,6,2ontrack
JosephVVallace,6,2ontrack
mortenlund89,6,2ontrack
SamTalksTesla,6,2ontrack
LovesTesla,5,2ontrack
KiwiEV,5,2ontrack
GerberKawasaki,5,2ontrack
richardbranson,5,2ontrack
Alpsoy66,5,2ontrack
TilmanWinkler,5,2ontrack
JZarif,5,2ontrack
tparsi,5,2ontrack
EforElectric,5,2ontrack
atrupar,5,2ontrack
KeiraSavage00,5,2ontrack
MikeCarlton01,5,2ontrack
ddale8,5,2ontrack
VirginAustralia,5,2ontrack
SmileSimplify,5,2ontrack
humorandanimals,5,2ontrack
RaniaKhalek,5,2ontrack
russ1mitchell,5,2ontrack
XpengMotors,5,2ontrack
BarkMSmeagol,5,2ontrack
BradMunchen,5,2ontrack
JohnCleese,4,2ontrack
lunaticopresid1,4,2ontrack
DrDenaGrayson,4,2ontrack
snarwani,4,2ontrack
yashar,4,2ontrack
PPathole,4,2ontrack
LeilaniMunter,4,2ontrack
USNavy,4,2ontrack
GeromanAT,4,2ontrack
HOVcampaign,4,2ontrack
HUMANBEINGONE,4,2ontrack
VoteAndyBrown,4,2ontrack
GarethPorter,4,2ontrack
ABC7,4,2ontrack
LeanderVee,4,2ontrack
KuhMuh2,4,2ontrack
ValaAfshar,4,2ontrack
MichaelWestBiz,4,2ontrack
Gf4Tesla,4,2ontrack
RationalEtienne,4,2ontrack
DailyMailUK,4,2ontrack
TheFigen,4,2ontrack
MikeMacRaeMike,4,2ontrack
thesheetztweetz,4,2ontrack
InsideEVs,4,2ontrack
FremontPD,4,2ontrack
sc101_101,4,2ontrack
Dare2BWell,4,2ontrack
WHO,4,2ontrack
nopsledge,4,2ontrack
ANDREW1ALBERTT,4,2ontrack
maduro_en,4,2ontrack
SAirfarce,4,2ontrack
Sofiaan,4,2ontrack
nytimes,4,2ontrack
Model3Owners,4,2ontrack
Dumbsheat,4,2ontrack
AliAbunimah,3,2ontrack
OVargas52,3,2ontrack
SamiRamadani1,3,2ontrack
TeslaRun,3,2ontrack
spectatorindex,3,2ontrack
rundlemall,3,2ontrack
stephendziedzic,3,2ontrack
CNBC,3,2ontrack
ElonsBrain,3,2ontrack
SaleemulHuq,3,2ontrack
1395FIVEaa,3,2ontrack
william_sw,3,2ontrack
teslaownersSV,3,2ontrack
usairforce,3,2ontrack
ChangeAus,3,2ontrack
TeslaChillMode,3,2ontrack
morethanmySLE,3,2ontrack
Erdayastronaut,3,2ontrack
BorisJohnson,3,2ontrack
medeabenjamin,3,2ontrack
ElectroCar,3,2ontrack
HoarseWisperer,3,2ontrack
AskDrStupid,3,2ontrack
JimmyDoreShow,3,2ontrack
cody_a_hill,3,2ontrack
ShanglooWarlord,3,2ontrack
amazon,3,2ontrack
9NewsAdel,3,2ontrack
JamesTodaroMD,3,2ontrack
washingtonpost,3,2ontrack
lhilakari,3,2ontrack
maddow,3,2ontrack
BernieSanders,3,2ontrack
Michelle4Labour,3,2ontrack
JeffBezos,3,2ontrack
comma_ai,3,2ontrack
Gazzerg23,3,2ontrack
johnpilger,3,2ontrack
funder,3,2ontrack
7NewsSydney,3,2ontrack
timand2037,3,2ontrack
CatherineKingMP,3,2ontrack
AlamedaCounty,3,2ontrack
GeorgeMonbiot,3,2ontrack
RT_com,3,2ontrack
truth_tesla,3,2ontrack
Souria4Syrians,3,2ontrack
ByeonChansoo,3,2ontrack
NatSecMulligan,3,2ontrack
27khv,3,2ontrack
alandail,3,2ontrack
GavinNewsom,3,2ontrack
dreamrealities,3,2ontrack
smh,3,2ontrack
JoeBiden,3,2ontrack
Yamiche,3,2ontrack
MSNBC,3,2ontrack
AfMusk,3,2ontrack
austinbarnard45,3,2ontrack
billmckibben,3,2ontrack
seanmmitchell,3,2ontrack
Crazzyintheusa,3,2ontrack
EM_RESUS,3,2ontrack
eugenegu,3,2ontrack
7NewsAdelaide,3,2ontrack
Alex_Verbeek,3,2ontrack
PeterSchiff,3,2ontrack
TeslaTested,3,2ontrack
Ford,3,2ontrack
NASA,3,2ontrack
dancohen3000,3,2ontrack
ChristopherJM,3,2ontrack
SentryOf,2,2ontrack
gigafactory_4,2,2ontrack
NBCNews,2,2ontrack
StormTesla,2,2ontrack
GovRonDeSantis,2,2ontrack
absinthol,2,2ontrack
Bishop64,2,2ontrack
SurenSuku,2,2ontrack
Automotive_News,2,2ontrack
HighCourtofAus,2,2ontrack
DylanRatigan,2,2ontrack
JulianBurnside,2,2ontrack
CCSOFLSheriff,2,2ontrack
Consortiumnews,2,2ontrack
jburnmurdoch,2,2ontrack
ABC,2,2ontrack
BedfordAWS,2,2ontrack
TKamot,2,2ontrack
PittsburghPG,2,2ontrack
S_Padival,2,2ontrack
luciusfgrant,2,2ontrack
taseenb,2,2ontrack
ET_Exists,2,2ontrack
Russ_Warrior,2,2ontrack
bad_takes,2,2ontrack
davidcnswanson,2,2ontrack
oanh_1,2,2ontrack
CNNPolitics,2,2ontrack
ScottGottliebMD,2,2ontrack
TankerTrackers,2,2ontrack
ClaireLBoland,2,2ontrack
LEGO_Group,2,2ontrack
ISeeHex,2,2ontrack
idahomolly,2,2ontrack
DaveSMT,2,2ontrack
australian,2,2ontrack
stillgray,2,2ontrack
Porsche,2,2ontrack
SchoonerLita,2,2ontrack
Dave_Oakden,2,2ontrack
Crazyinnasia,2,2ontrack
AlexBerenson,2,2ontrack
NaomiAKlein,2,2ontrack
9NewsAUS,2,2ontrack
GordonRamsay,2,2ontrack
THEnergyNet,2,2ontrack
KDSmet,2,2ontrack
TWUAus,2,2ontrack
ABCthedrum,2,2ontrack
IvankaTrump,2,2ontrack
GuthrieDavis,2,2ontrack
stealthygeek,2,2ontrack
cctv_idiots,2,2ontrack
DaSayHeyKID,2,2ontrack
dcabellor,2,2ontrack
KimSussex3,2,2ontrack
jimmyraynes,2,2ontrack
TeslaJoy,2,2ontrack
berniespofforth,2,2ontrack
MattNorrey,2,2ontrack
Rolan1Michael,2,2ontrack
MikeElk,2,2ontrack
MalFiBore,2,2ontrack
TriTexan,2,2ontrack
SydneyAzari,2,2ontrack
pmagn,2,2ontrack
KissOfDeathTip,2,2ontrack
CaliCali2000,2,2ontrack
audisport,2,2ontrack
TeslaGong,2,2ontrack
TeslaNY,2,2ontrack
NuovaRealta,2,2ontrack
9NewsSyd,2,2ontrack
JoyAnnReid,2,2ontrack
DazzHeadspace,2,2ontrack
terrasweat,2,2ontrack
Scott20931611,2,2ontrack
The_Daily_NK,2,2ontrack
abadnfluenz,2,2ontrack
ANNICI1,2,2ontrack
MicheleONeilAU,2,2ontrack
rt99cammie,2,2ontrack
Moderate_Rebels,2,2ontrack
theintercept,2,2ontrack
grumpyshortpant,2,2ontrack
meckimac,2,2ontrack
caitoz,2,2ontrack
remindmetweets,2,2ontrack
Rachael_Swindon,2,2ontrack
MediYoga_ax,2,2ontrack
Joshua4Congress,2,2ontrack
TeslaPhx,2,2ontrack
JimmyRob78,2,2ontrack
blovereviews,2,2ontrack
RBReich,2,2ontrack
rmattila74,2,2ontrack
ajamubaraka,2,2ontrack
YouTube,2,2ontrack
milenaac,2,2ontrack
IgorZhdanovRT,2,2ontrack
arstechnica,2,2ontrack
DrivingSlate,2,2ontrack
salaam,2,2ontrack
TeslaStars,2,2ontrack
byronkaye,2,2ontrack
Julie61450197,2,2ontrack
gnuman1979,2,2ontrack
macsween_prue,2,2ontrack
themario1u,2,2ontrack
ggreenwald,2,2ontrack
PeterDutton_MP,2,2ontrack
MuradGazdiev,2,2ontrack
KenCoop80,2,2ontrack
carinamary,2,2ontrack
DareeceteleSUR,2,2ontrack
BLKMDL3,2,2ontrack
BillGates,2,2ontrack
trevlan006,2,2ontrack
ClausMller17,2,2ontrack
sara_boutall,2,2ontrack
JebSprague,2,2ontrack
farronbalanced,2,2ontrack
richardmarx,2,2ontrack
LindseyGrahamSC,2,2ontrack
jayleno,2,2ontrack
JayinShanghai,2,2ontrack
Reuters,2,2ontrack
9NewsMelb,2,2ontrack
CaraMia200,2,2ontrack
James_A_Lea,2,2ontrack
LindaWhiteASU,2,2ontrack
Kate18660449,2,2ontrack
danyellcee,2,2ontrack
masterchefau,2,2ontrack
StephenKing,2,2ontrack
cit_uprising,2,2ontrack
JoshFrydenberg,2,2ontrack
KingBaeksu,2,2ontrack
Annette_Taddeo,2,2ontrack
TWUMichaelKaine,2,2ontrack
alvinfoo,2,2ontrack
jimcramer,2,2ontrack
9NewsQueensland,2,2ontrack
facts_tesla,2,2ontrack
MrNeffels,2,2ontrack
MontanaSeptic,2,2ontrack
Nadiareckons,2,2ontrack
KayKosmos,2,2ontrack
TWUVicTas,2,2ontrack
speculawyer,2,2ontrack
sydney_ev,2,2ontrack
O_Rich_,2,2ontrack
UniverCurious,2,2ontrack
ASUnion,2,2ontrack
JoyceWhiteVance,2,2ontrack
william_cravey,2,2ontrack
Johnrashton47,2,2ontrack
zacritic,2,2ontrack
engineers_feed,2,2ontrack
lib_crusher,2,2ontrack
JStein_WaPo,2,2ontrack
NEDemocracy,2,2ontrack
AneekaSimonis,2,2ontrack
ainekoskitten,2,2ontrack
StateDept,2,2ontrack
PreetBharara,2,2ontrack
kimpaquette,2,2ontrack
eye_syrian,2,2ontrack
rhymes46,2,2ontrack
_TeslaTom,2,2ontrack
aus_business,2,2ontrack
TeslaStraya,2,2ontrack
Tleilaxu_Mentat,2,2ontrack
ArynHabeeb,2,2ontrack
johnsy123aus,2,2ontrack
tesladri,2,2ontrack
Mars4x4,2,2ontrack
sallymcmanus,2,2ontrack
bocc1_,2,2ontrack
Billy3McCabe,2,2ontrack
LaithMarouf,2,2ontrack
AstroHardin,2,2ontrack
Marwa__Osman,2,2ontrack
RadioFreeTom,2,2ontrack
AnnastaciaMP,2,2ontrack
TheBubbleBubble,2,2ontrack
MartinBurr1,2,2ontrack
BMW,2,2ontrack
Supermantibody,2,2ontrack
TWUJohn,2,2ontrack
anonyx10,2,2ontrack
Tsutsaev_Ruslan,2,2ontrack
Audi,2,2ontrack
79Wahoo,2,2ontrack
federalreserve,2,2ontrack
freshjiva,2,2ontrack
dwallacewells,2,2ontrack
tellcarl2,2,2ontrack
leonisherealso,2,2ontrack
joelockhart,2,2ontrack
theheraldsun,2,2ontrack
PaulLidicul,2,2ontrack
TheAltWorld,2,2ontrack
yashalevine,2,2ontrack
MunroAssociates,2,2ontrack
FinancialReview,2,2ontrack
FutureIsTesla,2,2ontrack
RingOfFireMedia,2,2ontrack
afshinrattansi,2,2ontrack
SacBeeEditBoard,2,2ontrack
markcurtis30,2,2ontrack
Nissan,2,2ontrack
55555EL55555,2,2ontrack
asknbid,2,2ontrack
LeeCamp,2,2ontrack
NeilSmallwood,2,2ontrack
MCHammer,2,2ontrack
wyattreed13,2,2ontrack
SpeakerPelosi,2,2ontrack
LibsInAmerica,2,2ontrack
steven_pifer,2,2ontrack
RenataKonkoly,2,2ontrack
reinedelanuit05,2,2ontrack
AwardsDarwin,2,2ontrack
ICannot_Enough,2,2ontrack
TESLAcharts,2,2ontrack
Mitzi_McK,2,2ontrack
jkbjournalist,1,2ontrack
nichegamer,1,2ontrack
Jonathan_K_Cook,1,2ontrack
MichaelEMann,1,2ontrack
TweeterTweaker,1,2ontrack
jekearsley,1,2ontrack
carolecadwalla,1,2ontrack
sjoerd87777991,1,2ontrack
strollingrabbi,1,2ontrack
FreakieF,1,2ontrack
AFP,1,2ontrack
oulosP,1,2ontrack
twodoubles,1,2ontrack
Super_Shirls,1,2ontrack
taiwanted,1,2ontrack
EdanClay,1,2ontrack
TariqShehadeh,1,2ontrack
maccas,1,2ontrack
NickRossTech,1,2ontrack
MrMichaelSpicer,1,2ontrack
ifindkarma,1,2ontrack
officialmcafee,1,2ontrack
FIVEaaBreakfast,1,2ontrack
DavidCampbell73,1,2ontrack
SteveHamel16,1,2ontrack
joshrowe,1,2ontrack
KeloidKrown,1,2ontrack
DavaStarr,1,2ontrack
RojavaNetwork,1,2ontrack
RepMattGaetz,1,2ontrack
Mosheh,1,2ontrack
SkyeCity_,1,2ontrack
Fede_Pole,1,2ontrack
strobist,1,2ontrack
SimonRMerton,1,2ontrack
TreDiMediolanum,1,2ontrack
MissAutobahn1,1,2ontrack
CoolHuh_,1,2ontrack
BeckettUnite,1,2ontrack
MonicaArayaTica,1,2ontrack
AssaadRazzouk,1,2ontrack
ndcnn,1,2ontrack
IveGotMutuals,1,2ontrack
sophvorrath,1,2ontrack
mirandayaver,1,2ontrack
solivan675,1,2ontrack
PeterGleick,1,2ontrack
mwcvic,1,2ontrack
ChrisSugar4,1,2ontrack
Hertz,1,2ontrack
ModelYendofICE,1,2ontrack
SkyNewsAust,1,2ontrack
dennis_p,1,2ontrack
anniepullar,1,2ontrack
VWGroup,1,2ontrack
aminorjourney,1,2ontrack
AndrewYang,1,2ontrack
simbrowning,1,2ontrack
handelsblatt,1,2ontrack
LimitingThe,1,2ontrack
mjgal,1,2ontrack
BTnewsroom,1,2ontrack
ShuttleAlmanac,1,2ontrack
jensstoltenberg,1,2ontrack
revmagdalen,1,2ontrack
ycorsair,1,2ontrack
JamieGreen_,1,2ontrack
sacca,1,2ontrack
loicduval,1,2ontrack
AaronCouch,1,2ontrack
notcapnamerica,1,2ontrack
buzydnc,1,2ontrack
thepmo,1,2ontrack
GY18164253,1,2ontrack
jimearl666,1,2ontrack
minhtngo,1,2ontrack
ObeeWhen,1,2ontrack
dimalks,1,2ontrack
IIHS_autosafety,1,2ontrack
judgeKangaroo,1,2ontrack
Flutterbygypsy,1,2ontrack
pauldashworth,1,2ontrack
OzraeliAvi,1,2ontrack
ProfRayWills,1,2ontrack
CaptGibb,1,2ontrack
GuitarMoog,1,2ontrack
MGliksmanMDPhD,1,2ontrack
2ndNewMoon,1,2ontrack
SDNYnews,1,2ontrack
JonJonesSnr,1,2ontrack
zentipede,1,2ontrack
evchels,1,2ontrack
AmitSahu_Journo,1,2ontrack
TVietor08,1,2ontrack
carolineframke,1,2ontrack
TSLAQQ,1,2ontrack
C_Barraud,1,2ontrack
oshaymoishe1,1,2ontrack
latimes,1,2ontrack
ProjectLincoln,1,2ontrack
VW,1,2ontrack
bykemp,1,2ontrack
bymichaelphelan,1,2ontrack
drianwright,1,2ontrack
HPUK,1,2ontrack
lisapeaca65,1,2ontrack
isaacrcouncil,1,2ontrack
Asher_Wolf,1,2ontrack
cctvidiots,1,2ontrack
telester,1,2ontrack
timmerenginerd,1,2ontrack
ACSOSheriffs,1,2ontrack
Pete_Clay,1,2ontrack
TDANetwork,1,2ontrack
DonaldGarner5,1,2ontrack
OilCfd,1,2ontrack
nypost,1,2ontrack
hawawright360,1,2ontrack
MattHancock,1,2ontrack
blackmirror,1,2ontrack
THR,1,2ontrack
GovWhitmer,1,2ontrack
RDNS_TAI,1,2ontrack
weijia,1,2ontrack
ericsson,1,2ontrack
RTErdogan,1,2ontrack
Rjdlandscapes,1,2ontrack
M_McCormackMP,1,2ontrack
AndrewColeshill,1,2ontrack
TwitterMoments,1,2ontrack
danahull,1,2ontrack
MsGanoosh,1,2ontrack
andyjstanton,1,2ontrack
1984geoorwell,1,2ontrack
todd_poirier,1,2ontrack
terror_toddler,1,2ontrack
LabPadre,1,2ontrack
melana523,1,2ontrack
mattprescott,1,2ontrack
MayorDarcy,1,2ontrack
goshutyourmouth,1,2ontrack
CovelloMassimo,1,2ontrack
MaryHeglar,1,2ontrack
JanWildman,1,2ontrack
sivanithu,1,2ontrack
techAU,1,2ontrack
poddiguy,1,2ontrack
lcvegguk,1,2ontrack
Colgo,1,2ontrack
lj3252,1,2ontrack
rosendo_joe,1,2ontrack
CCTSSAB,1,2ontrack
GMUBillJohnson,1,2ontrack
BW,1,2ontrack
dendrades,1,2ontrack
fred_guttenberg,1,2ontrack
JoeMcMonigle,1,2ontrack
LucasdiGrassi,1,2ontrack
netflix,1,2ontrack
HSCBoard,1,2ontrack
paullewismoney,1,2ontrack
WarlickLeslie,1,2ontrack
AndrewJPR91,1,2ontrack
RFrijns,1,2ontrack
GrogsGamut,1,2ontrack
AusMumTesla,1,2ontrack
BradStone,1,2ontrack
Magpie1954nBird,1,2ontrack
APompliano,1,2ontrack
CpaMaritime,1,2ontrack
ZoiePalmer,1,2ontrack
Doggie_wumpus,1,2ontrack
giopagliari,1,2ontrack
ilhaamcook,1,2ontrack
Obelix_2,1,2ontrack
ChrisRFLLC,1,2ontrack
NellyJerez_,1,2ontrack
jamie_agust,1,2ontrack
NicolleDWallace,1,2ontrack
NordStream2,1,2ontrack
Chris_Telley,1,2ontrack
SparkMiddleton,1,2ontrack
sfchronicle,1,2ontrack
garyblack00,1,2ontrack
AngelNDevil2,1,2ontrack
TheDailyShow,1,2ontrack
2NE1FourEverrrr,1,2ontrack
DTM,1,2ontrack
Harveyadam,1,2ontrack
mrsorganguy,1,2ontrack
O2SupremeVermin,1,2ontrack
glebbern,1,2ontrack
ToomeyWright,1,2ontrack
MccluskeyMindi,1,2ontrack
malnooks,1,2ontrack
chenweihua,1,2ontrack
irishrygirl,1,2ontrack
aussiesdointhgs,1,2ontrack
LivioFilice,1,2ontrack
Mauerback,1,2ontrack
MeidasTouch,1,2ontrack
AdamBandt,1,2ontrack
Frolencewalters,1,2ontrack
HansLak,1,2ontrack
RCCOHH,1,2ontrack
brianiselin67,1,2ontrack
vdogg5100eso,1,2ontrack
Brasco_Aad,1,2ontrack
Boeing,1,2ontrack
windsweptjoe,1,2ontrack
toddstarnes,1,2ontrack
jenskristianson,1,2ontrack
MattEganCNN,1,2ontrack
StrivenB,1,2ontrack
scottpidity,1,2ontrack
MFrance923,1,2ontrack
DavidJay_AU,1,2ontrack
james94_SF,1,2ontrack
AutoNewsEurope,1,2ontrack
SaeedNowroozi20,1,2ontrack
Pravduh15,1,2ontrack
JohnLocker4,1,2ontrack
cabia_speakup,1,2ontrack
Joyce_Karam,1,2ontrack
climatecouncil,1,2ontrack
Daimler,1,2ontrack
GordonGChang,1,2ontrack
TheDA_UK,1,2ontrack
EVNewsDaily,1,2ontrack
MikeDrucker,1,2ontrack
faseidl,1,2ontrack
KevinMcD54,1,2ontrack
lufthansa,1,2ontrack
mat_dunckley,1,2ontrack
leithforrest,1,2ontrack
Jennicuti,1,2ontrack
prageru,1,2ontrack
tobyliiiiiiiiii,1,2ontrack
SBSNews,1,2ontrack
KatrinaNation,1,2ontrack
KaushalyaFem,1,2ontrack
AnthonyCole68,1,2ontrack
